ID,NAME,NAME_allportdata,ABBREV,COUNTRY_CODE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATDD,LONGDD,MIN_T,MAX_T,RANGE_T,YR_MEAN_T,Salinity,Temp_Src,Sal_Src,MEOW_region,MEOW_province,MEOW_realm,FEOW_region,MEOW_Neighbors,FEOW_Neighbors,,,,,,
1,Gotland Is.,NA,NA,SWE,57.5,18.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baltic Sea,Northern European Seas,Temperate Northern Atlantic,Northern Baltic Drainages,North Sea|Southern Norway|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Lake Onega - Lake Ladoga|Norwegian Sea Drainages|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2,Middelburg,Middelburg,NLD,NLD,51.5,3.6167,51.5,3.61667,5.11,18.18,13.07,11.34,21.88,WOA,Drake_Model,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
3,Claxton Bay,Claxton Bay,TTO,TTO,10.3506,-61.4628,10.35,-61.46667,26,27.37,1.37,26.85,29.4,Air,WOA,Guianan,North Brazil Shelf,Tropical Atlantic,South America Caribbean Drainages - Trinidad,Amazonia|Eastern Caribbean|Southern Caribbean|NA|NA|NA|NA|NA|NA,Magdalena - Sinu|Maracaibo|Orinoco Delta & Coastal Drainages|Orinoco Piedmont|Orinoco Llanos|Orinoco High Andes|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4,Great Lakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
5,Minicoy,Minicoy,IND,IND,8.2833,73.0667,8.28333,73.06667,28.03,29.99,1.97,28.78,35.01,WOA,WOA,Maldives,Central Indian Ocean Islands,Western Indo-Pacific,Maldives - Lakshadweep,Chagos|South India and Sri Lanka|Western India|NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
6,Fowey Roads,NA,NA,GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
7,Falkenberg,Falkenberg,SWE,SWE,56.8972,12.4897,56.88333,12.5,2.89,18.53,15.64,9.77,17.32,Air,WOA,North Sea,Northern European Seas,Temperate Northern Atlantic,Northern Baltic Drainages,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Barents Sea Drainages|Lake Onega - Lake Ladoga|Norwegian Sea Drainages|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
8,Jiangmen,Jiangmen,CHN,CHN,22.6667,113.0833,22.66667,113.08333,16.44,28.9,12.46,24.05,0.42,Air,Drake_Model,Southern China,South China Sea,Central Indo-Pacific,Xi Yiang,East China Sea|Gulf of Tonkin|South China Sea Oceanic Islands|South Kuroshio|NA|NA|NA|NA|NA,Lower Yangtze|Coastal Fujian - Zeijang|Song Hong|Middle Yangtze|Yunnan Lakes|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
9,Siorapaluk,Siorapaluk,GRL,GRL,77.7833,-70.7,77.78333,-70.7,0,4.86,4.86,0,32.65,Air,WOA,North Greenland,Arctic,Arctic,Greenland,Baffin Bay - Davis Strait|East Greenland Shelf|West Greenland Shelf|High Arctic Archipelago|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
10,Kaafjord,Kaafjord,NOR,NOR,69.5833,20.5167,69.58333,20.51667,0,11.92,11.92,2.77,20.07,Air,Drake_Model,Northern Norway and Finnmark,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Southern Norway|North and East Barents Sea|White Sea|NA|NA|NA|NA|NA,NA,,,,,,
11,Oaze Deep Anch.,NA,NA,GBR,51.5,1.0167,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
12,Torquay,Torquay,GBR,GBR,50.45,-3.5333,50.45,-3.53333,7.66,18.24,10.58,12.41,35.16,Air,WOA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,NA,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,NA,,,,,,
13,Bressay,Bressay,GBR,GBR,60.1333,-1.0833,60.13333,-1.08333,7.23,12.48,5.25,9.54,35.22,WOA,WOA,North Sea,Northern European Seas,Temperate Northern Atlantic,Northern British Isles,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Central & Western Europe|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
14,Halvorshavn,Halvorshavn,NOR,NOR,59.5833,10.6167,59.58333,10.61667,0.99,17.84,16.85,7.41,27.23,Air,WOA,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
15,Houston(CAN),Houston(CAN),CAN,CAN,54.4,-126.65,54.4,-126.65,0.01,15.33,15.32,5.11,0,Air,DistIn,North American Pacific Fijordland,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Alaska & Canada Pacific Coastal,"Gulf of Alaska|Oregon, Washington, Vancouver Coast and Shelf|Puget Trough/Georgia Basin|NA|NA|NA|NA|NA|NA",Columbia Glaciated|Columbia Unglaciated|Alaskan Coastal|Lower Mackenzie|Upper Mackenzie|Upper Yukon|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
16,Montego Bay,Montego Bay,JAM,JAM,18.4619,-77.9344,18.46667,-77.93333,25.68,27.94,2.26,26.97,35.9,Air,WOA,Greater Antilles,Tropical Northwestern Atlantic,Tropical Atlantic,Jamaica,Bahamian|Eastern Caribbean|Floridian|Southern Caribbean|Southern Gulf of Mexico|Southwestern Caribbean|Western Caribbean|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
17,Boca Chica,Boca Chica,DOM,DOM,18.445,-69.5841,18.45,-69.58333,25.52,27.8,2.28,26.85,35.53,Air,WOA,Greater Antilles,Tropical Northwestern Atlantic,Tropical Atlantic,Hispaniola,Bahamian|Eastern Caribbean|Floridian|Southern Caribbean|Southern Gulf of Mexico|Southwestern Caribbean|Western Caribbean|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
18,Bahia Honda,Bahia Honda,CUB,CUB,22.9667,-83.1667,22.96667,-83.16667,23.06,27.94,4.88,26.01,24.93,Air,Drake_Model,Greater Antilles,Tropical Northwestern Atlantic,Tropical Atlantic,NA,Bahamian|Eastern Caribbean|Floridian|Southern Caribbean|Southern Gulf of Mexico|Southwestern Caribbean|Western Caribbean|NA|NA,NA,,,,,,
19,Rogers City,Rogers City,USA,USA,45.4,-83.8333,45.4,-83.83333,0.27,19.33,19.06,8.08,0,AVHRR,DistIn,NA,NA,NA,Laurentian Great Lakes,NA,Upper Mississippi|Teays - Old Ohio|Chesapeake Bay|Northeast US & Southeast Canada Atlantic Drainages|English - Winnipeg Lakes|Southern Hudson Bay|St.Lawrence|NA|NA|NA|NA|NA|NA|NA,,,,,,
20,Omaezaki,Omaezaki,JPN,JPN,34.6,138.2333,34.6,138.23333,14.92,26.25,11.33,20.25,34.15,WOA,WOA,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,NA,East China Sea|Northeastern Honshu|Ogasawara Islands|Sea of Japan/East Sea|South Kuroshio|NA|NA|NA|NA,NA,,,,,,
21,Bahia Blanca,Bahia Blanca,ARG,ARG,-38.7761,-62.2869,-38.73722,-62.28972,10.16,24.61,14.45,17.32,20.24,Air,Drake_Model,Uruguay-Buenos Aires Shelf,Warm Temperate Southwestern Atlantic,Temperate South America,Bonaerensean Drainages,North Patagonian Gulfs|Patagonian Shelf|Rio de la Plata|Rio Grande|NA|NA|NA|NA|NA,Lower Parana|Mar Chiquita - Salinas Grandes|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
22,Corpus Christi light. area,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
23,Black Sea,NA,NA,NA,43.4689,29.9487,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black Sea,Black Sea,Temperate Northern Atlantic,NA,Levantine Sea|Aegean Sea|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
24,Tuticorin,Tuticorin,IND,IND,8.8,78.1833,8.8,78.18333,27.59,28.96,1.37,28.29,34.33,Air,WOA,South India and Sri Lanka,West and South Indian Shelf,Western Indo-Pacific,NA,Eastern India|Maldives|Western India|NA|NA|NA|NA|NA|NA,NA,,,,,,
